x,y,phi
0,-150,-1.5
-14.25,-149.25,-1.49747
-13.5,-149.25,-1.49509
-12.75,-149.25,-1.49292
-12,-149.25,-1.49093
-11.25,-149.25,-1.48911
-10.5,-149.25,-1.48745
-9.75,-149.25,-1.48595
-9,-149.25,-1.48458
-8.25,-149.25,-1.48335
-7.5,-149.25,-1.48225
-6.75,-149.25,-1.48126
-6,-149.25,-1.48039
-5.25,-149.25,-1.47963
-4.5,-149.25,-1.47898
-3.75,-149.25,-1.47844
-3,-149.25,-1.47799
-2.25,-149.25,-1.47765
-1.5,-149.25,-1.47741
-0.75,-149.25,-1.47726
0,-149.25,-1.47721
0.75,-149.25,-1.47726
1.5,-149.25,-1.47741
2.25,-149.25,-1.47765
3,-149.25,-1.47799
3.75,-149.25,-1.47844
4.5,-149.25,-1.47898
5.25,-149.25,-1.47963
6,-149.25,-1.48039
6.75,-149.25,-1.48126
7.5,-149.25,-1.48225
8.25,-149.25,-1.48335
9,-149.25,-1.48458
9.75,-149.25,-1.48595
10.5,-149.25,-1.48745
11.25,-149.25,-1.48911
12,-149.25,-1.49093
12.75,-149.25,-1.49292
13.5,-149.25,-1.49509
14.25,-149.25,-1.49747
-21,-148.5,-1.49898
-20.25,-148.5,-1.49451
-19.5,-148.5,-1.49049
-18.75,-148.5,-1.48685
-18,-148.5,-1.48355
-17.25,-148.5,-1.48055
-16.5,-148.5,-1.47781
-15.75,-148.5,-1.4753
-15,-148.5,-1.473
-14.25,-148.5,-1.47089
-13.5,-148.5,-1.46896
-12.75,-148.5,-1.46719
-12,-148.5,-1.46557
-11.25,-148.5,-1.46408
-10.5,-148.5,-1.46273
-9.75,-148.5,-1.4615
-9,-148.5,-1.46038
-8.25,-148.5,-1.45937
-7.5,-148.5,-1.45846
-6.75,-148.5,-1.45765
-6,-148.5,-1.45694
-5.25,-148.5,-1.45632
-4.5,-148.5,-1.45579
-3.75,-148.5,-1.45534
-3,-148.5,-1.45497
-2.25,-148.5,-1.45469
-1.5,-148.5,-1.45449
-0.75,-148.5,-1.45437
0,-148.5,-1.45434
0.75,-148.5,-1.45437
1.5,-148.5,-1.45449
2.25,-148.5,-1.45469
3,-148.5,-1.45497
3.75,-148.5,-1.45534
4.5,-148.5,-1.45579
5.25,-148.5,-1.45632
6,-148.5,-1.45694
6.75,-148.5,-1.45765
7.5,-148.5,-1.45846
8.25,-148.5,-1.45937
9,-148.5,-1.46038
9.75,-148.5,-1.4615
10.5,-148.5,-1.46273
11.25,-148.5,-1.46408
12,-148.5,-1.46557
12.75,-148.5,-1.46719
13.5,-148.5,-1.46896
14.25,-148.5,-1.47089
15,-148.5,-1.473
15.75,-148.5,-1.4753
16.5,-148.5,-1.47781
17.25,-148.5,-1.48055
18,-148.5,-1.48355
18.75,-148.5,-1.48685
19.5,-148.5,-1.49049
20.25,-148.5,-1.49451
21,-148.5,-1.49898
-25.5,-147.75,-1.49581
-24.75,-147.75,-1.48868
-24,-147.75,-1.48263
-23.25,-147.75,-1.47739
-22.5,-147.75,-1.4728
-21.75,-147.75,-1.46874
-21,-147.75,-1.4651
-20.25,-147.75,-1.46183
-19.5,-147.75,-1.45887
-18.75,-147.75,-1.45617
-18,-147.75,-1.4537
-17.25,-147.75,-1.45145
-16.5,-147.75,-1.44938
-15.75,-147.75,-1.44749
-15,-147.75,-1.44574
-14.25,-147.75,-1.44415
-13.5,-147.75,-1.44267
-12.75,-147.75,-1.44131
-12,-147.75,-1.44007
-11.25,-147.75,-1.43893
-10.5,-147.75,-1.43788
-9.75,-147.75,-1.43694
-9,-147.75,-1.43607
-8.25,-147.75,-1.43529
-7.5,-147.75,-1.43458
-6.75,-147.75,-1.43396
-6,-147.75,-1.4334
-5.25,-147.75,-1.43292
-4.5,-147.75,-1.43251
-3.75,-147.75,-1.43216
-3,-147.75,-1.43188
-2.25,-147.75,-1.43166
-1.5,-147.75,-1.4315
-0.75,-147.75,-1.43141
0,-147.75,-1.43138
0.75,-147.75,-1.43141
1.5,-147.75,-1.4315
2.25,-147.75,-1.43166
3,-147.75,-1.43188
3.75,-147.75,-1.43216
4.5,-147.75,-1.43251
5.25,-147.75,-1.43292
6,-147.75,-1.4334
6.75,-147.75,-1.43396
7.5,-147.75,-1.43458
8.25,-147.75,-1.43529
9,-147.75,-1.43607
9.75,-147.75,-1.43694
10.5,-147.75,-1.43788
11.25,-147.75,-1.43893
12,-147.75,-1.44007
12.75,-147.75,-1.44131
13.5,-147.75,-1.44267
14.25,-147.75,-1.44415
15,-147.75,-1.44574
15.75,-147.75,-1.44749
16.5,-147.75,-1.44938
17.25,-147.75,-1.45145
18,-147.75,-1.4537
18.75,-147.75,-1.45617
19.5,-147.75,-1.45887
20.25,-147.75,-1.46183
21,-147.75,-1.4651
21.75,-147.75,-1.46874
22.5,-147.75,-1.4728
23.25,-147.75,-1.47739
24,-147.75,-1.48263
24.75,-147.75,-1.48868
25.5,-147.75,-1.49581
-29.25,-147,-1.4823
-28.5,-147,-1.47054
-27.75,-147,-1.46279
-27,-147,-1.45687
-26.25,-147,-1.45211
-25.5,-147,-1.448
-24.75,-147,-1.44436
-24,-147,-1.44112
-23.25,-147,-1.43818
-22.5,-147,-1.43552
-21.75,-147,-1.4331
-21,-147,-1.43088
-20.25,-147,-1.42884
-19.5,-147,-1.42697
-18.75,-147,-1.42525
-18,-147,-1.42366
-17.25,-147,-1.42217
-16.5,-147,-1.42079
-15.75,-147,-1.41952
-15,-147,-1.41835
-14.25,-147,-1.41726
-13.5,-147,-1.41626
-12.75,-147,-1.41533
-12,-147,-1.41446
-11.25,-147,-1.41367
-10.5,-147,-1.41295
-9.75,-147,-1.41228
-9,-147,-1.41168
-8.25,-147,-1.41113
-7.5,-147,-1.41063
-6.75,-147,-1.41019
-6,-147,-1.4098
-5.25,-147,-1.40946
-4.5,-147,-1.40917
-3.75,-147,-1.40892
-3,-147,-1.40872
-2.25,-147,-1.40856
-1.5,-147,-1.40845
-0.75,-147,-1.40838
0,-147,-1.40837
0.75,-147,-1.40838
1.5,-147,-1.40845
2.25,-147,-1.40856
3,-147,-1.40872
3.75,-147,-1.40892
4.5,-147,-1.40917
5.25,-147,-1.40946
6,-147,-1.4098
6.75,-147,-1.41019
7.5,-147,-1.41063
8.25,-147,-1.41113
9,-147,-1.41168
9.75,-147,-1.41228
10.5,-147,-1.41295
11.25,-147,-1.41367
12,-147,-1.41446
12.75,-147,-1.41533
13.5,-147,-1.41626
14.25,-147,-1.41726
15,-147,-1.41835
15.75,-147,-1.41952
16.5,-147,-1.42079
17.25,-147,-1.42217
18,-147,-1.42366
18.75,-147,-1.42525
19.5,-147,-1.42697
20.25,-147,-1.42884
21,-147,-1.43088
21.75,-147,-1.4331
22.5,-147,-1.43552
23.25,-147,-1.43818
24,-147,-1.44112
24.75,-147,-1.44436
25.5,-147,-1.448
26.25,-147,-1.45211
27,-147,-1.45687
27.75,-147,-1.46279
28.5,-147,-1.47054
29.25,-147,-1.4823
-33,-146.25,-1.00584
-32.25,-146.25,-1.063
-31.5,-146.25,-1.12948
-30.75,-146.25,-1.21176
-30,-146.25,-1.31509
-29.25,-146.25,-1.37081
-28.5,-146.25,-1.38791
-27.75,-146.25,-1.39474
-27,-146.25,-1.39793
-26.25,-146.25,-1.39933
-25.5,-146.25,-1.39973
-24.75,-146.25,-1.3996
-24,-146.25,-1.39922
-23.25,-146.25,-1.39871
-22.5,-146.25,-1.39806
-21.75,-146.25,-1.39727
-21,-146.25,-1.39647
-20.25,-146.25,-1.39568
-19.5,-146.25,-1.39493
-18.75,-146.25,-1.3942
-18,-146.25,-1.39349
-17.25,-146.25,-1.39279
-16.5,-146.25,-1.3921
-15.75,-146.25,-1.39146
-15,-146.25,-1.39086
-14.25,-146.25,-1.3903
-13.5,-146.25,-1.38977
-12.75,-146.25,-1.38927
-12,-146.25,-1.38879
-11.25,-146.25,-1.38835
-10.5,-146.25,-1.38795
-9.75,-146.25,-1.38757
-9,-146.25,-1.38723
-8.25,-146.25,-1.38692
-7.5,-146.25,-1.38663
-6.75,-146.25,-1.38637
-6,-146.25,-1.38614
-5.25,-146.25,-1.38594
-4.5,-146.25,-1.38578
-3.75,-146.25,-1.38563
-3,-146.25,-1.38551
-2.25,-146.25,-1.38541
-1.5,-146.25,-1.38535
-0.75,-146.25,-1.38531
0,-146.25,-1.3853
0.75,-146.25,-1.38531
1.5,-146.25,-1.38535
2.25,-146.25,-1.38541
3,-146.25,-1.38551
3.75,-146.25,-1.38563
4.5,-146.25,-1.38578
5.25,-146.25,-1.38594
6,-146.25,-1.38614
6.75,-146.25,-1.38637
7.5,-146.25,-1.38663
8.25,-146.25,-1.38692
9,-146.25,-1.38723
9.75,-146.25,-1.38757
10.5,-146.25,-1.38795
11.25,-146.25,-1.38835
12,-146.25,-1.38879
12.75,-146.25,-1.38927
13.5,-146.25,-1.38977
14.25,-146.25,-1.3903
15,-146.25,-1.39086
15.75,-146.25,-1.39146
16.5,-146.25,-1.3921
17.25,-146.25,-1.39279
18,-146.25,-1.39349
18.75,-146.25,-1.3942
19.5,-146.25,-1.39493
20.25,-146.25,-1.39568
21,-146.25,-1.39647
21.75,-146.25,-1.39727
22.5,-146.25,-1.39806
23.25,-146.25,-1.39871
24,-146.25,-1.39922
24.75,-146.25,-1.3996
25.5,-146.25,-1.39973
26.25,-146.25,-1.39933
27,-146.25,-1.39793
27.75,-146.25,-1.39474
28.5,-146.25,-1.38791
29.25,-146.25,-1.37081
30,-146.25,-1.31509
30.75,-146.25,-1.21176
31.5,-146.25,-1.12948
32.25,-146.25,-1.063
33,-146.25,-1.00584
-36,-145.5,-0.816819
-35.25,-145.5,-0.856407
-34.5,-145.5,-0.898636
-33.75,-145.5,-0.943899
-33,-145.5,-0.992452
-32.25,-145.5,-1.0457
-31.5,-145.5,-1.10551
-30.75,-145.5,-1.17025
-30,-145.5,-1.23586
-29.25,-145.5,-1.28526
-28.5,-145.5,-1.31287
-27.75,-145.5,-1.33022
-27,-145.5,-1.34096
-26.25,-145.5,-1.34759
-25.5,-145.5,-1.35198
-24.75,-145.5,-1.35521
-24,-145.5,-1.3576
-23.25,-145.5,-1.35931
-22.5,-145.5,-1.36055
-21.75,-145.5,-1.36147
-21,-145.5,-1.36209
-20.25,-145.5,-1.36256
-19.5,-145.5,-1.36289
-18.75,-145.5,-1.36312
-18,-145.5,-1.36327
-17.25,-145.5,-1.36336
-16.5,-145.5,-1.36339
-15.75,-145.5,-1.36338
-15,-145.5,-1.36335
-14.25,-145.5,-1.36331
-13.5,-145.5,-1.36325
-12.75,-145.5,-1.36318
-12,-145.5,-1.36309
-11.25,-145.5,-1.363
-10.5,-145.5,-1.36291
-9.75,-145.5,-1.36283
-9,-145.5,-1.36275
-8.25,-145.5,-1.36268
-7.5,-145.5,-1.3626
-6.75,-145.5,-1.36252
-6,-145.5,-1.36246
-5.25,-145.5,-1.3624
-4.5,-145.5,-1.36236
-3.75,-145.5,-1.36231
-3,-145.5,-1.36227
-2.25,-145.5,-1.36224
-1.5,-145.5,-1.36222
-0.75,-145.5,-1.36221
0,-145.5,-1.36221
0.75,-145.5,-1.36221
1.5,-145.5,-1.36222
2.25,-145.5,-1.36224
3,-145.5,-1.36227
3.75,-145.5,-1.36231
4.5,-145.5,-1.36236
5.25,-145.5,-1.3624
6,-145.5,-1.36246
6.75,-145.5,-1.36252
7.5,-145.5,-1.3626
8.25,-145.5,-1.36268
9,-145.5,-1.36275
9.75,-145.5,-1.36283
10.5,-145.5,-1.36291
11.25,-145.5,-1.363
12,-145.5,-1.36309
12.75,-145.5,-1.36318
13.5,-145.5,-1.36325
14.25,-145.5,-1.36331
15,-145.5,-1.36335
15.75,-145.5,-1.36338
16.5,-145.5,-1.36339
17.25,-145.5,-1.36336
18,-145.5,-1.36327
18.75,-145.5,-1.36312
19.5,-145.5,-1.36289
20.25,-145.5,-1.36256
21,-145.5,-1.36209
21.75,-145.5,-1.36147
22.5,-145.5,-1.36055
23.25,-145.5,-1.35931
24,-145.5,-1.3576
24.75,-145.5,-1.35521
25.5,-145.5,-1.35198
26.25,-145.5,-1.34759
27,-145.5,-1.34096
27.75,-145.5,-1.33022
28.5,-145.5,-1.31287
29.25,-145.5,-1.28526
30,-145.5,-1.23586
30.75,-145.5,-1.17025
31.5,-145.5,-1.10551
32.25,-145.5,-1.0457
33,-145.5,-0.992452
33.75,-145.5,-0.943899
34.5,-145.5,-0.898636
35.25,-145.5,-0.856407
36,-145.5,-0.816819
-39,-144.75,-0.668915
-38.25,-144.75,-0.701249
-37.5,-144.75,-0.734909
-36.75,-144.75,-0.769974
-36,-144.75,-0.806661
-35.25,-144.75,-0.84531
-34.5,-144.75,-0.886181
-33.75,-144.75,-0.929131
-33,-144.75,-0.974915
-32.25,-144.75,-1.0238
-31.5,-144.75,-1.07506
-30.75,-144.75,-1.12774
-30,-144.75,-1.17842
-29.25,-144.75,-1.21987
-28.5,-144.75,-1.2504
-27.75,-144.75,-1.27181
-27,-144.75,-1.28681
-26.25,-144.75,-1.29762
